Name,Subject,Description,Tags,Assign,Priority,Update Field,Last Order,HTTP Target,Close,Available To - Brands,Available To - Agents,Created By
"Cancel last order","","Hello %First Name%,

Thank you so much for reaching out! I am happy to help.

I was able to get your order cancelled and created a refund request for your order number and it should be processed within 24 to 72 business hours. Once the refund is released, please allow 3-5 business days for you to receive the funds back depending on your bank's processing timeframe. You'll receive an email with your refund details as well.

Reimbursement of funds will be allocated back to the original form of payment used for purchase.

Let me know if you need any additional assistance. You can also access our Help Center here if you need additional assistance.

Thank you!

Sincerely,
%Agent First Name%
Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS: Cancellation Request (Cannot Cancel)","","Hello ​​%First Name%​​,

Thank you for reaching out! 

Orders are imported directly to our fulfillment facility upon receipt. Once the order has been imported to our fulfillment facility, we, unfortunately, have no ability to cancel the orders. We're so sorry for any inconvenience this may cause you. 

Once the package arrives, if you do opt to arrange a return, please reach back out, and we can help you with some return instructions. 

You can review our policy in full here: https://www.scentiment.com/pages/faqs. 

If you have any additional questions, please let us know. We're happy to help. 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","order-cancellation-request","","","","","","","All Brands","Everyone","System"
"GENERIC: Greeting","","Hello ​​%First Name%​​,

Thank you for reaching out. How can I assist you?

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"REFUND REQUEST : Partial refund last order","","Hello %First Name%,

Hope all is well!

I have created a partial refund request for your last order %Order Name% and it should be processed within 24 to 72 business hours. Once the refund is released, please allow 3-5 business days for you to receive the funds back depending on your bank's processing timeframe. You'll receive an email with your refund details as well.

Reimbursement of funds will be allocated back to the original form of payment used for purchase.

Please let me know if you need any additional assistance. You can also access our Scentiment Help Center if you need additional assistance.

Thank you.

Sincerely, %Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Damage & Defect: Video Request","","Hello ​​%First Name%​​,

Thank you for reaching out to us regarding the issue you are experiencing with your device. We are sorry to hear that it is not working properly, and we would be happy to help you resolve the issue as quickly as possible.

In order to better understand the issue you are experiencing, we kindly request that you provide us with a brief video and description of what is occurring when you attempt to use the device. This will help us to identify the problem more quickly and provide you with the most effective solution.

Once we receive this information, our technical support team will review it and provide you with further instructions on how to proceed. We understand that this may be an inconvenience, but we want to ensure that we address the issue in the most efficient way possible.

If you have any questions or concerns, please do not hesitate to reach out to us. We are here to assist you in any way we can.

Thank you for your understanding, and we look forward to hearing back from you soon.

Best Regards,

​​%Agent First Name%​​

Scentiment Customer Support","return-defective","","","","","","","All Brands","Everyone","System"
"ORDERS: Swapped with other variant","","Hi ​​%First Name%​​

Thank you for responding back. We have gone ahead and updated your order to your chosen alternative variant. You'll receive a separate email with the tracking number. 

As always, feel free to reach out to us should you need further assistance. 

All the best, 

​​%Agent First Name%​​

Scentiment Customer Support","replacement-order","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Standard Diffuser V1: Resetting Remote (w/ Video)","","Hello %First Name%,
Thank you for reaching out, and we're so sorry to hear you're having trouble with your diffuser remote. 
We have some great resources available to get your remote up and running. I've included a video here for your review.
Please watch this video and give the suggestions a try.
If you have a different model of diffuser, please review the troubleshooting steps here.

If the issue is not resolved, your diffuser is under warranty and you’ve already completed the troubleshooting steps and submitted your video, we’ll provide you with a link to initiate your warranty replacement.

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS : Address change: Unable to process","","Hello %First Name%,

Thank you for your email.

Unfortunately, we are unable to process an address change at this point.

Orders are imported directly to our fulfillment facility upon receipt. Once the order has been imported to our fulfillment facility, we, unfortunately, have no ability to edit the orders. We're so sorry for any inconvenience this may cause you.

You can review our policy in full here: https://www.scentiment.com/pages/faqs.

Once the package arrives, if you do opt to arrange a return, please click on Scentiment Help Center.

If you have any additional questions, please let us know, we're happy to help.

Sincerely,%Agent First Name%Scentiment Customer Support Team","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE : Wrong Item Received: STEP 2: Diffuser items -Reshipment","","Hello %First Name%,

Thank you for following up!

We apologize for any inconvenience caused due to the incorrect diffuser that you received. We understand that receiving the wrong item can be frustrating, and we take full responsibility for the error.

We have reviewed your order and have identified the issue. To rectify this error, we will be shipping you the correct package as soon as we see movement in the return of the incorrect item you have received. Please initiate the return of the incorrect item by clicking here: https://orders.scentiment.com/. We will ensure that the new package is prioritized and shipped to you in the shortest possible time.

We assure you that we have taken corrective measures to avoid such errors in the future. We value your trust in our brand and hope that this mistake does not deter you from shopping with us in the future.

If you have any questions or concerns, please feel free to contact us. We are committed to providing excellent customer service and will be happy to assist you. You can also access our Scentiment Help Center if you need additional assistance.

Thank you for your patience and understanding.

Sincerely,%Agent First Name%Scentiment Customer Support","replacement-order","","","","","","","All Brands","Everyone","System"
"ORDERS: RTS Outreach","RE: Address Verification for Reshipment","Hello ​​%First Name%​​,

​​%Agent First Name%​​ here from the Scentiment Customer Support Team.  I'm so sorry to report that your order XXXXX has been marked as returned to sender and has been received back at our warehouse.

We'd be happy to reship this order to you, or we can process a refund, whichever you prefer. 

If you'd like a reshipment, can you confirm the complete shipping address?

Looking forward to hearing back! 

Best Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
